"","protein2_clean","protein1_clean","protein1","protein2","combined_score","gene1","entrez1","gene2","entrez2","go_similarity","label"
"682","ENSP00000341885","ENSP00000418082","9606.ENSP00000418082","9606.ENSP00000341885",999,"RPL37A","6168","RPS2","6187",0.848,1
"683","ENSP00000367747","ENSP00000347032","9606.ENSP00000347032","9606.ENSP00000367747",919,"PIP4K2C","79837","PLCH2","9651",0.393,0
"684","ENSP00000416683","ENSP00000216338","9606.ENSP00000216338","9606.ENSP00000416683",903,"GZMH","2999","IGFALS","3483",0.195,0
"685","ENSP00000357255","ENSP00000302967","9606.ENSP00000302967","9606.ENSP00000357255",905,"HDAC3","8841","BGLAP","632",0.206,0
"686","ENSP00000292614","ENSP00000375809","9606.ENSP00000375809","9606.ENSP00000292614",962,"ERCC2","2068","POLR2J","5439",1,1
"687","ENSP00000420321","ENSP00000422591","9606.ENSP00000422591","9606.ENSP00000420321",999,"SLIT2","9353","ROBO1","6091",0.61,1
"688","ENSP00000300305","ENSP00000260356","9606.ENSP00000260356","9606.ENSP00000300305",903,"THBS1","7057","RUNX1","861",0.303,0
"689","ENSP00000358616","ENSP00000400591","9606.ENSP00000400591","9606.ENSP00000358616",922,"SNRPE","6635","SMNDC1","10285",0.747,1
"690","ENSP00000234420","ENSP00000354957","9606.ENSP00000354957","9606.ENSP00000234420",916,"SMC5","23137","MSH6","2956",0.367,0
"691","ENSP00000378414","ENSP00000301280","9606.ENSP00000301280","9606.ENSP00000378414",934,"CHAF1A","10036","SMARCD1","6602",0.142,0
"692","ENSP00000354742","ENSP00000256079","9606.ENSP00000256079","9606.ENSP00000354742",938,"IPO8","10526","IPO9","55705",0.604,1
"693","ENSP00000311032","ENSP00000263946","9606.ENSP00000263946","9606.ENSP00000311032",902,"PKP1","5317","CASP3","836",0.354,0
"694","ENSP00000356430","ENSP00000386229","9606.ENSP00000386229","9606.ENSP00000356430",918,"RGS14","10636","RGS18","64407",1,1
"695","ENSP00000316176","ENSP00000320898","9606.ENSP00000320898","9606.ENSP00000316176",998,"RNF168","165918","UBE2N","7334",0.664,1
"696","ENSP00000282356","ENSP00000265354","9606.ENSP00000265354","9606.ENSP00000282356",922,"SRF","6722","CAMK4","814",0.352,0
"697","ENSP00000359581","ENSP00000366246","9606.ENSP00000366246","9606.ENSP00000359581",947,"GPC6","10082","HS2ST1","9653",0.062,0
"698","ENSP00000375809","ENSP00000360671","9606.ENSP00000360671","9606.ENSP00000375809",902,"SLC25A5","292","ERCC2","2068",0.188,0
"699","ENSP00000363642","ENSP00000267425","9606.ENSP00000267425","9606.ENSP00000363642",933,"NOP9","161424","BMS1","9790",0.616,1
"700","ENSP00000324122","ENSP00000318297","9606.ENSP00000318297","9606.ENSP00000324122",992,"RUVBL1","8607","PRPF31","26121",0.224,0
"701","ENSP00000482674","ENSP00000430432","9606.ENSP00000430432","9606.ENSP00000482674",943,"HDAC2","3066","H2BC3","3018",0.376,0
"702","ENSP00000300692","ENSP00000244007","9606.ENSP00000244007","9606.ENSP00000300692",927,"PLCG1","5335","CD3D","915",0.376,0
"703","ENSP00000364801","ENSP00000261396","9606.ENSP00000261396","9606.ENSP00000364801",901,"NUP133","55746","HSPA1B","3304",0.139,0
"704","ENSP00000385571","ENSP00000344215","9606.ENSP00000344215","9606.ENSP00000385571",904,"TP53INP1","94241","HIPK2","28996",0.351,0
"705","ENSP00000258424","ENSP00000367939","9606.ENSP00000367939","9606.ENSP00000258424",999,"UQCRQ","27089","COX5B","1329",0.727,1
"706","ENSP00000216802","ENSP00000044462","9606.ENSP00000044462","9606.ENSP00000216802",980,"PSMA4","5685","PSME2","5721",0.6,1
"707","ENSP00000215832","ENSP00000335055","9606.ENSP00000335055","9606.ENSP00000215832",901,"WASF3","10810","MAPK1","5594",0.198,0
"708","ENSP00000223023","ENSP00000226091","9606.ENSP00000226091","9606.ENSP00000223023",903,"EFNB3","1949","WASL","8976",0.239,0
"709","ENSP00000326630","ENSP00000362306","9606.ENSP00000362306","9606.ENSP00000326630",902,"AGO4","192670","ZFPM1","161882",0.175,0
"710","ENSP00000354720","ENSP00000275517","9606.ENSP00000275517","9606.ENSP00000354720",995,"CDCA5","113130","SMC3","9126",0.664,1
"711","ENSP00000343002","ENSP00000286657","9606.ENSP00000286657","9606.ENSP00000343002",906,"ADAMTS3","9508","B3GLCT","145173",0.372,0
"712","ENSP00000261733","ENSP00000449535","9606.ENSP00000449535","9606.ENSP00000261733",930,"ACSS3","79611","ALDH2","217",0.277,0
"713","ENSP00000377192","ENSP00000302393","9606.ENSP00000302393","9606.ENSP00000377192",912,"LDHAL6B","92483","G6PD","2539",0.217,0
"714","ENSP00000328854","ENSP00000261015","9606.ENSP00000261015","9606.ENSP00000328854",955,"WDR12","55759","NOC4L","79050",0.873,1
"715","ENSP00000363642","ENSP00000263657","9606.ENSP00000263657","9606.ENSP00000363642",989,"PNO1","56902","BMS1","9790",1,1
"716","ENSP00000351605","ENSP00000304697","9606.ENSP00000304697","9606.ENSP00000351605",912,"UBB","7314","FZD6","8323",0.182,0
"717","ENSP00000221700","ENSP00000228740","9606.ENSP00000228740","9606.ENSP00000221700",909,"LTA4H","4048","CYP4F2","8529",0.283,0
"718","ENSP00000417273","ENSP00000367220","9606.ENSP00000367220","9606.ENSP00000417273",965,"ACTR2","10097","NCK1","4690",0.353,0
"719","ENSP00000340305","ENSP00000303709","9606.ENSP00000303709","9606.ENSP00000340305",975,"UBE2E1","7324","UBE2V1","7335",0.613,1
"720","ENSP00000295119","ENSP00000256442","9606.ENSP00000256442","9606.ENSP00000295119",917,"CCNB1","891","NUP35","129401",0.138,0
"721","ENSP00000457513","ENSP00000339720","9606.ENSP00000339720","9606.ENSP00000457513",988,"NDUFA4","4697","COX4I1","1327",0.914,1
"722","ENSP00000445162","ENSP00000339917","9606.ENSP00000339917","9606.ENSP00000445162",902,"TAF9B","51616","GTF2H3","2967",0.249,0
"723","ENSP00000237889","ENSP00000184266","9606.ENSP00000184266","9606.ENSP00000237889",999,"NDUFB4","4710","NDUFB3","4709",1,1
"724","ENSP00000266505","ENSP00000265382","9606.ENSP00000265382","9606.ENSP00000266505",928,"PIP5K1B","8395","PLCZ1","89869",0.093,0
"725","ENSP00000346001","ENSP00000272317","9606.ENSP00000272317","9606.ENSP00000346001",998,"RPS27A","6233","RPL3","6122",0.683,1
"726","ENSP00000269305","ENSP00000382628","9606.ENSP00000382628","9606.ENSP00000269305",952,"RBBP8","5932","TP53","7157",0.327,0
"727","ENSP00000369335","ENSP00000451974","9606.ENSP00000451974","9606.ENSP00000369335",926,"XRCC3","7517","FBH1","84893",0.621,1
"728","ENSP00000481878","ENSP00000383118","9606.ENSP00000383118","9606.ENSP00000481878",950,"CDC42","998","GNB1","2782",0.302,0
"729","ENSP00000367527","ENSP00000262241","9606.ENSP00000262241","9606.ENSP00000367527",902,"RCOR1","23186","DCLRE1C","64421",0.265,0
"730","ENSP00000371858","ENSP00000263239","9606.ENSP00000263239","9606.ENSP00000371858",995,"DDX18","8886","NOP2","4839",0.928,1
"731","ENSP00000385675","ENSP00000229135","9606.ENSP00000229135","9606.ENSP00000385675",943,"IFNG","3458","IL6","3569",0.607,1
"732","ENSP00000361850","ENSP00000441691","9606.ENSP00000441691","9606.ENSP00000361850",927,"ITGAM","3684","PLAU","5328",0.329,0
"733","ENSP00000417602","ENSP00000223324","9606.ENSP00000223324","9606.ENSP00000417602",999,"MRPL32","64983","MRPL47","57129",1,1
"734","ENSP00000342889","ENSP00000259895","9606.ENSP00000259895","9606.ENSP00000342889",971,"GTF2H4","2968","POLR2K","5440",0.714,1
"735","ENSP00000325655","ENSP00000361993","9606.ENSP00000361993","9606.ENSP00000325655",936,"TIMM8A","1678","CHCHD5","84269",0.06,0
"736","ENSP00000363944","ENSP00000351446","9606.ENSP00000351446","9606.ENSP00000363944",943,"WDR5","11091","LAS1L","81887",0.179,0
"737","ENSP00000354394","ENSP00000358022","9606.ENSP00000358022","9606.ENSP00000354394",949,"MCL1","4170","STAT1","6772",0.398,0
"738","ENSP00000262367","ENSP00000303424","9606.ENSP00000303424","9606.ENSP00000262367",901,"PTGDR","5729","CREBBP","1387",0.313,0
"739","ENSP00000419782","ENSP00000344572","9606.ENSP00000344572","9606.ENSP00000419782",932,"FIBP","9158","CDK5","1020",0.12,0
"740","ENSP00000349436","ENSP00000348215","9606.ENSP00000348215","9606.ENSP00000349436",924,"SH3PXD2A","9644","ADAM15","8751",0.121,0
"741","ENSP00000347277","ENSP00000225969","9606.ENSP00000225969","9606.ENSP00000347277",971,"MRPL27","51264","MRPL52","122704",1,1
"742","ENSP00000482546","ENSP00000477973","9606.ENSP00000477973","9606.ENSP00000482546",996,"STAG3","10734","REC8","9985",0.625,1
"743","ENSP00000305595","ENSP00000480428","9606.ENSP00000480428","9606.ENSP00000305595",933,"B4GALT3","8703","B3GNT2","10678",0.274,0
"744","ENSP00000363642","ENSP00000318195","9606.ENSP00000318195","9606.ENSP00000363642",938,"NCL","4691","BMS1","9790",0.152,0
"745","ENSP00000314444","ENSP00000404122","9606.ENSP00000404122","9606.ENSP00000314444",913,"IFT74","80173","WDR35","57539",0.848,1
"746","ENSP00000463393","ENSP00000428564","9606.ENSP00000428564","9606.ENSP00000463393",953,"SEC24B","10427","SEC22B","9554",0.064,0
"747","ENSP00000216452","ENSP00000356702","9606.ENSP00000356702","9606.ENSP00000216452",999,"PIGC","5279","PIGH","5283",1,1
"748","ENSP00000330289","ENSP00000394071","9606.ENSP00000394071","9606.ENSP00000330289",911,"GDI1","2664","TRAPPC6B","122553",0.339,0
"749","ENSP00000370503","ENSP00000353850","9606.ENSP00000353850","9606.ENSP00000370503",971,"ITGB1BP1","9270","CCM2","83605",0.314,0
"750","ENSP00000426103","ENSP00000256646","9606.ENSP00000256646","9606.ENSP00000426103",931,"NOTCH2","4853","MIB2","142678",0.203,0
"751","ENSP00000246914","ENSP00000353292","9606.ENSP00000353292","9606.ENSP00000246914",970,"SCNN1A","6337","WNK4","65266",0.296,0
"752","ENSP00000417963","ENSP00000407586","9606.ENSP00000407586","9606.ENSP00000417963",915,"HRAS","3265","PPP2R5D","5528",0.105,0
"753","ENSP00000422392","ENSP00000266079","9606.ENSP00000266079","9606.ENSP00000422392",994,"PRPF6","24148","LSM6","11157",0.693,1
"754","ENSP00000299259","ENSP00000268717","9606.ENSP00000268717","9606.ENSP00000299259",999,"COPS3","8533","COPS2","9318",0.738,1
"755","ENSP00000264951","ENSP00000161863","9606.ENSP00000161863","9606.ENSP00000264951",987,"YTHDC2","64848","XRN1","54464",0.05,0
"756","ENSP00000254657","ENSP00000326804","9606.ENSP00000326804","9606.ENSP00000254657",915,"CUL1","8454","PER2","8864",0.2,0
"757","ENSP00000382707","ENSP00000381601","9606.ENSP00000381601","9606.ENSP00000382707",978,"MX1","4599","IFITM3","10410",0.654,1
"758","ENSP00000347979","ENSP00000364907","9606.ENSP00000364907","9606.ENSP00000347979",928,"SYK","6850","FAS","355",0.382,0
"759","ENSP00000484903","ENSP00000339844","9606.ENSP00000339844","9606.ENSP00000484903",970,"MRPL43","84545","MRPL45","84311",1,1
"760","ENSP00000311665","ENSP00000217958","9606.ENSP00000217958","9606.ENSP00000311665",996,"PSMD10","5716","PAAF1","80227",0.634,1
"761","ENSP00000362710","ENSP00000438115","9606.ENSP00000438115","9606.ENSP00000362710",967,"COPS7A","50813","COPS7B","64708",0.935,1
"762","ENSP00000275493","ENSP00000263980","9606.ENSP00000263980","9606.ENSP00000275493",981,"SLC9A1","6548","EGFR","1956",0.293,0
"763","ENSP00000251810","ENSP00000219479","9606.ENSP00000219479","9606.ENSP00000251810",932,"NME4","4833","RRM2B","50484",0.311,0
"764","ENSP00000295119","ENSP00000266735","9606.ENSP00000266735","9606.ENSP00000295119",919,"SNRPF","6636","NUP35","129401",0.119,0
"765","ENSP00000396052","ENSP00000297109","9606.ENSP00000297109","9606.ENSP00000396052",905,"SAP30L","79685","BRMS1","25855",0.827,1
"766","ENSP00000425979","ENSP00000254108","9606.ENSP00000254108","9606.ENSP00000425979",997,"FUS","2521","DROSHA","29102",0.27,0
"767","ENSP00000408108","ENSP00000283632","9606.ENSP00000283632","9606.ENSP00000408108",990,"RMND5A","64795","WDR26","80232",1,1
"768","ENSP00000221494","ENSP00000364813","9606.ENSP00000364813","9606.ENSP00000221494",993,"LSM2","57819","SF3A2","8175",0.813,1
"769","ENSP00000378402","ENSP00000362300","9606.ENSP00000362300","9606.ENSP00000378402",907,"AGO1","26523","SIN3A","25942",0.297,0
"770","ENSP00000351446","ENSP00000388107","9606.ENSP00000388107","9606.ENSP00000351446",950,"UBA52","7311","WDR5","11091",0.313,0
"771","ENSP00000215727","ENSP00000356771","9606.ENSP00000356771","9606.ENSP00000215727",937,"F5","2153","SERPIND1","3053",0.046,0
"772","ENSP00000391211","ENSP00000261303","9606.ENSP00000261303","9606.ENSP00000391211",999,"PSMC1","5700","PSMC2","5701",1,1
"773","ENSP00000332194","ENSP00000362649","9606.ENSP00000362649","9606.ENSP00000332194",968,"HDAC1","3065","H2AC20","8338",1,1
"774","ENSP00000352627","ENSP00000481486","9606.ENSP00000481486","9606.ENSP00000352627",933,"H4C9","8294","H2AC17","8336",0.376,0
"775","ENSP00000258383","ENSP00000264995","9606.ENSP00000264995","9606.ENSP00000258383",996,"MRPL3","11222","MRPL44","65080",0.958,1
"776","ENSP00000373854","ENSP00000160262","9606.ENSP00000160262","9606.ENSP00000373854",939,"ICAM3","3385","ITGAD","3681",0.831,1
"777","ENSP00000264414","ENSP00000371398","9606.ENSP00000371398","9606.ENSP00000264414",911,"GLIS3","169792","CUL3","8452",0.134,0
"778","ENSP00000379011","ENSP00000341044","9606.ENSP00000341044","9606.ENSP00000379011",920,"ACACB","32","CPT1B","1375",0.271,0
"779","ENSP00000245544","ENSP00000238616","9606.ENSP00000238616","9606.ENSP00000245544",912,"NEK9","91754","NUP85","79902",0.121,0
"780","ENSP00000264039","ENSP00000362680","9606.ENSP00000362680","9606.ENSP00000264039",947,"SRC","6714","GPC1","2817",0.29,0
"781","ENSP00000322229","ENSP00000346693","9606.ENSP00000346693","9606.ENSP00000322229",980,"ELOVL2","54898","FADS1","3992",0.607,1
"782","ENSP00000265728","ENSP00000405726","9606.ENSP00000405726","9606.ENSP00000265728",995,"CDC45","8318","DBF4","10926",0.317,0
"783","ENSP00000249299","ENSP00000410758","9606.ENSP00000410758","9606.ENSP00000249299",999,"LSM5","23658","LSM8","51691",1,1
"784","ENSP00000365402","ENSP00000228928","9606.ENSP00000228928","9606.ENSP00000365402",918,"OAS3","4940","HLA-C","3107",0.157,0
"785","ENSP00000479106","ENSP00000319169","9606.ENSP00000319169","9606.ENSP00000479106",949,"PRMT5","10419","H4C1","8359",0.273,0
"786","ENSP00000368169","ENSP00000278568","9606.ENSP00000278568","9606.ENSP00000368169",921,"PAK1","5058","DVL1","1855",0.358,0
"787","ENSP00000302620","ENSP00000359680","9606.ENSP00000359680","9606.ENSP00000302620",989,"HOGA1","112817","AGXT","189",0.718,1
"788","ENSP00000325905","ENSP00000379475","9606.ENSP00000379475","9606.ENSP00000325905",967,"DDX39B","7919","SRSF7","6432",0.674,1
"789","ENSP00000449535","ENSP00000436585","9606.ENSP00000436585","9606.ENSP00000449535",910,"ECHDC1","55862","ACSS3","79611",0.18,0
"790","ENSP00000316054","ENSP00000378557","9606.ENSP00000378557","9606.ENSP00000316054",981,"DAAM1","23002","DVL3","1857",1,1
"791","ENSP00000363827","ENSP00000252575","9606.ENSP00000252575","9606.ENSP00000363827",931,"NCAN","1463","HSPG2","3339",0.34,0
"792","ENSP00000366396","ENSP00000350698","9606.ENSP00000350698","9606.ENSP00000366396",924,"DDX47","51202","XRN2","22803",0.609,1
"793","ENSP00000263253","ENSP00000262189","9606.ENSP00000262189","9606.ENSP00000263253",976,"KMT2C","58508","EP300","2033",1,1
"794","ENSP00000435096","ENSP00000375730","9606.ENSP00000375730","9606.ENSP00000435096",999,"RPL13A","23521","RPS25","6230",0.61,1
"795","ENSP00000428085","ENSP00000346080","9606.ENSP00000346080","9606.ENSP00000428085",978,"RPL22L1","200916","RPL30","6156",1,1
"796","ENSP00000273588","ENSP00000379108","9606.ENSP00000379108","9606.ENSP00000273588",979,"MTHFD2L","441024","AMT","275",0.275,0
"797","ENSP00000270328","ENSP00000346478","9606.ENSP00000346478","9606.ENSP00000270328",938,"ADAMTSL2","9719","ADAMTS10","81794",0.048,0
"798","ENSP00000440485","ENSP00000216802","9606.ENSP00000216802","9606.ENSP00000440485",906,"PSME2","5721","PSMD9","5715",0.217,0
"799","ENSP00000337825","ENSP00000262494","9606.ENSP00000262494","9606.ENSP00000337825",914,"GNAO1","2775","LCK","3932",0.258,0
"800","ENSP00000358327","ENSP00000359216","9606.ENSP00000359216","9606.ENSP00000358327",902,"PTBP2","58155","CASP7","840",0.153,0
"801","ENSP00000297579","ENSP00000351446","9606.ENSP00000351446","9606.ENSP00000297579",905,"WDR5","11091","DCAF13","25879",0.211,0
"802","ENSP00000264025","ENSP00000418070","9606.ENSP00000418070","9606.ENSP00000264025",989,"NECTIN3","25945","NECTIN1","5818",0.679,1
"803","ENSP00000338862","ENSP00000305702","9606.ENSP00000305702","9606.ENSP00000338862",925,"KCTD19","146212","BRIX1","55299",0.137,0
"804","ENSP00000358723","ENSP00000377233","9606.ENSP00000377233","9606.ENSP00000358723",924,"ARAP1","116985","RAP1A","5906",0.38,0
"805","ENSP00000341885","ENSP00000256383","9606.ENSP00000256383","9606.ENSP00000341885",988,"EIF2S1","1965","RPS2","6187",0.341,0
"806","ENSP00000476117","ENSP00000234170","9606.ENSP00000234170","9606.ENSP00000476117",909,"CEBPZ","10153","WDR18","57418",0.276,0
"807","ENSP00000393312","ENSP00000361818","9606.ENSP00000361818","9606.ENSP00000393312",960,"SDC4","6385","FGFR1","2260",0.231,0
"808","ENSP00000276689","ENSP00000327268","9606.ENSP00000327268","9606.ENSP00000276689",999,"NDUFV2","4729","NDUFB9","4715",0.639,1
"809","ENSP00000350708","ENSP00000234420","9606.ENSP00000234420","9606.ENSP00000350708",958,"MSH6","2956","RAD23B","5887",0.373,0
"810","ENSP00000352069","ENSP00000467579","9606.ENSP00000467579","9606.ENSP00000352069",910,"WBP2","23558","WWP2","11060",0.296,0
"811","ENSP00000261015","ENSP00000480832","9606.ENSP00000480832","9606.ENSP00000261015",951,"NOP16","51491","WDR12","55759",1,1
"812","ENSP00000464813","ENSP00000435777","9606.ENSP00000435777","9606.ENSP00000464813",999,"RPS13","6207","RPL27","6155",0.741,1
"813","ENSP00000261889","ENSP00000281187","9606.ENSP00000281187","9606.ENSP00000261889",995,"VPS26B","112936","SNX1","6642",0.669,1
"814","ENSP00000346340","ENSP00000233331","9606.ENSP00000233331","9606.ENSP00000346340",902,"INO80B","83444","COPS8","10920",0.298,0
"815","ENSP00000221801","ENSP00000395772","9606.ENSP00000395772","9606.ENSP00000221801",977,"GNL3","26354","FBL","2091",0.222,0
"816","ENSP00000330898","ENSP00000272645","9606.ENSP00000272645","9606.ENSP00000330898",969,"POLR2D","5433","POLR2J2","246721",1,1
"817","ENSP00000278572","ENSP00000363018","9606.ENSP00000363018","9606.ENSP00000278572",999,"RPL10A","4736","RPS3","6188",0.278,0
"818","ENSP00000445122","ENSP00000451406","9606.ENSP00000451406","9606.ENSP00000445122",957,"HSD17B6","8630","HSD3B2","3284",0.694,1
"819","ENSP00000284981","ENSP00000410339","9606.ENSP00000410339","9606.ENSP00000284981",985,"TOMM40","10452","APP","351",0.059,0
"820","ENSP00000311083","ENSP00000384849","9606.ENSP00000384849","9606.ENSP00000311083",919,"CDKN1A","1026","CKS1B","1163",0.803,1
"821","ENSP00000316377","ENSP00000306138","9606.ENSP00000306138","9606.ENSP00000316377",906,"GRM5","2915","DLGAP1","9229",0.375,0
"822","ENSP00000316176","ENSP00000323879","9606.ENSP00000323879","9606.ENSP00000316176",907,"ZNRF2","223082","UBE2N","7334",0.368,0
"823","ENSP00000319814","ENSP00000477707","9606.ENSP00000477707","9606.ENSP00000319814",943,"NR1H3","10062","PCK1","5105",0.319,0
"824","ENSP00000323867","ENSP00000278671","9606.ENSP00000278671","9606.ENSP00000323867",918,"LAMTOR1","55004","PRKAG1","5571",0.373,0
"825","ENSP00000216133","ENSP00000251900","9606.ENSP00000251900","9606.ENSP00000216133",944,"SCML2","10389","CBX7","23492",0.931,1
"826","ENSP00000373918","ENSP00000364794","9606.ENSP00000364794","9606.ENSP00000373918",997,"IARS1","3376","GARS1","2617",0.684,1
"827","ENSP00000306253","ENSP00000348752","9606.ENSP00000348752","9606.ENSP00000306253",901,"ORAI2","80228","ITPR1","3708",0.842,1
"828","ENSP00000236959","ENSP00000360250","9606.ENSP00000360250","9606.ENSP00000236959",925,"ENTPD1","953","ATIC","471",0.309,0
"829","ENSP00000315017","ENSP00000253099","9606.ENSP00000253099","9606.ENSP00000315017",999,"MRPL4","51073","MRPL1","65008",1,1
"830","ENSP00000411821","ENSP00000389009","9606.ENSP00000389009","9606.ENSP00000411821",905,"CARNS1","57571","ALDH3A1","218",0.269,0
"831","ENSP00000357920","ENSP00000369383","9606.ENSP00000369383","9606.ENSP00000357920",906,"MPV17","4358","DDO","8528",0.134,0
"832","ENSP00000219070","ENSP00000428340","9606.ENSP00000428340","9606.ENSP00000219070",952,"ANGPT1","284","MMP2","4313",0.272,0
"833","ENSP00000285873","ENSP00000264883","9606.ENSP00000264883","9606.ENSP00000285873",904,"NUP54","53371","GEMIN5","25929",0.184,0
"834","ENSP00000353362","ENSP00000300105","9606.ENSP00000300105","9606.ENSP00000353362",901,"CACNG2","10369","CACNA1A","773",0.274,0
"835","ENSP00000463013","ENSP00000310129","9606.ENSP00000310129","9606.ENSP00000463013",902,"PSMD2","5708","OAZ2","4947",0.393,0
"836","ENSP00000269305","ENSP00000244534","9606.ENSP00000244534","9606.ENSP00000269305",913,"H1-3","3007","TP53","7157",0.162,0
"837","ENSP00000358155","ENSP00000358151","9606.ENSP00000358151","9606.ENSP00000358155",991,"H2BC21","8349","H2AC18","8337",0.376,0
"838","ENSP00000346027","ENSP00000435777","9606.ENSP00000435777","9606.ENSP00000346027",999,"RPS13","6207","RPL21","6144",0.714,1
"839","ENSP00000261597","ENSP00000367276","9606.ENSP00000367276","9606.ENSP00000261597",950,"CKAP2","26586","NDC80","10403",0.306,0
"840","ENSP00000244537","ENSP00000307705","9606.ENSP00000307705","9606.ENSP00000244537",965,"H1-4","3008","H4C6","8361",0.322,0
"841","ENSP00000369176","ENSP00000362873","9606.ENSP00000362873","9606.ENSP00000369176",999,"NDUFA8","4702","NDUFB6","4712",0.991,1
"842","ENSP00000253039","ENSP00000396954","9606.ENSP00000396954","9606.ENSP00000253039",913,"ATF5","22809","EIF2S3","1968",0.244,0
"843","ENSP00000219476","ENSP00000261531","9606.ENSP00000261531","9606.ENSP00000219476",903,"SNW1","22938","TSC2","7249",0.32,0
"844","ENSP00000221138","ENSP00000412324","9606.ENSP00000412324","9606.ENSP00000221138",994,"PPP2R5C","5527","PPP2CB","5516",0.263,0
"845","ENSP00000355645","ENSP00000340944","9606.ENSP00000340944","9606.ENSP00000355645",903,"PTPN11","5781","ACTA1","58",0.239,0
"846","ENSP00000359688","ENSP00000395772","9606.ENSP00000395772","9606.ENSP00000359688",933,"GNL3","26354","RPF1","80135",0.136,0
"847","ENSP00000289371","ENSP00000361076","9606.ENSP00000361076","9606.ENSP00000289371",955,"RPL7A","6130","EIF5B","9669",0.688,1
"848","ENSP00000451261","ENSP00000338348","9606.ENSP00000338348","9606.ENSP00000451261",927,"UBE2G2","7327","UBE2J1","51465",0.795,1
"849","ENSP00000368767","ENSP00000360266","9606.ENSP00000360266","9606.ENSP00000368767",906,"JUN","3725","ASPH","444",0.356,0
"850","ENSP00000261837","ENSP00000294117","9606.ENSP00000294117","9606.ENSP00000261837",998,"GNG3","2785","GNB5","10681",0.915,1
"851","ENSP00000296102","ENSP00000484903","9606.ENSP00000484903","9606.ENSP00000296102",960,"MRPL45","84311","MRPL33","9553",1,1
"852","ENSP00000262039","ENSP00000254101","9606.ENSP00000254101","9606.ENSP00000262039",923,"PRKAB2","5565","PIK3C3","5289",0.291,0
"853","ENSP00000352706","ENSP00000357320","9606.ENSP00000357320","9606.ENSP00000352706",941,"DAP3","7818","HIBCH","26275",0.168,0
"854","ENSP00000309591","ENSP00000409007","9606.ENSP00000409007","9606.ENSP00000309591",901,"GDNF","2668","PRKACA","5566",0.333,0
"855","ENSP00000254719","ENSP00000480186","9606.ENSP00000480186","9606.ENSP00000254719",981,"POLD2","5425","RPA1","6117",0.619,1
"856","ENSP00000462468","ENSP00000375960","9606.ENSP00000375960","9606.ENSP00000462468",922,"AFDN","4301","YES1","7525",0.319,0
"857","ENSP00000263967","ENSP00000263341","9606.ENSP00000263341","9606.ENSP00000263967",919,"IL1B","3553","PIK3CA","5290",0.353,0
"858","ENSP00000401749","ENSP00000316881","9606.ENSP00000316881","9606.ENSP00000401749",959,"P3H2","55214","P4HA3","283208",0.123,0
"859","ENSP00000266735","ENSP00000302160","9606.ENSP00000302160","9606.ENSP00000266735",999,"LSM3","27258","SNRPF","6636",0.718,1
"860","ENSP00000381098","ENSP00000370532","9606.ENSP00000370532","9606.ENSP00000381098",901,"GTF3A","2971","GRIP1","23426",0.095,0
"861","ENSP00000372088","ENSP00000310356","9606.ENSP00000310356","9606.ENSP00000372088",937,"RMI2","116028","RAD51","5888",0.655,1
"862","ENSP00000362014","ENSP00000323047","9606.ENSP00000323047","9606.ENSP00000362014",902,"MTG1","92170","DNM1","1759",0.092,0
"863","ENSP00000366863","ENSP00000379287","9606.ENSP00000379287","9606.ENSP00000366863",969,"YWHAZ","7534","TBC1D4","9882",0.18,0
"864","ENSP00000403077","ENSP00000299300","9606.ENSP00000299300","9606.ENSP00000403077",940,"CCT2","10576","VKORC1L1","154807",0.12,0
"865","ENSP00000356198","ENSP00000261416","9606.ENSP00000261416","9606.ENSP00000356198",940,"HEXB","3074","CHIT1","1118",0.228,0
"866","ENSP00000319169","ENSP00000262300","9606.ENSP00000262300","9606.ENSP00000319169",913,"PKMYT1","9088","PRMT5","10419",0.308,0
"867","ENSP00000228872","ENSP00000262662","9606.ENSP00000262662","9606.ENSP00000228872",930,"CDKN2C","1031","CDKN1B","1027",0.622,1
"868","ENSP00000477437","ENSP00000334448","9606.ENSP00000334448","9606.ENSP00000477437",918,"GNG2","54331","KCNJ6","3763",0.14,0
"869","ENSP00000280551","ENSP00000428564","9606.ENSP00000428564","9606.ENSP00000280551",967,"SEC24B","10427","SEC24D","9871",1,1
"870","ENSP00000215574","ENSP00000380178","9606.ENSP00000380178","9606.ENSP00000215574",906,"UBE2G1","7326","CDC34","997",0.768,1
"871","ENSP00000414350","ENSP00000329214","9606.ENSP00000329214","9606.ENSP00000414350",904,"ST6GALNAC3","256435","MUC20","200958",0.08,0
"872","ENSP00000416255","ENSP00000351159","9606.ENSP00000351159","9606.ENSP00000416255",932,"CNOT3","4849","EIF4G1","1981",0.206,0
"873","ENSP00000439403","ENSP00000421842","9606.ENSP00000421842","9606.ENSP00000439403",996,"ANAPC13","25847","ANAPC15","25906",0.941,1
"874","ENSP00000420588","ENSP00000419665","9606.ENSP00000419665","9606.ENSP00000420588",945,"SSBP1","6742","TFAM","7019",0.232,0
"875","ENSP00000268097","ENSP00000261416","9606.ENSP00000261416","9606.ENSP00000268097",988,"HEXB","3074","HEXA","3073",0.84,1
"876","ENSP00000279242","ENSP00000483491","9606.ENSP00000483491","9606.ENSP00000279242",952,"OXA1L","5018","MRPL49","740",1,1
