"","protein2_clean","protein1_clean","protein1","protein2","combined_score","gene1","entrez1","gene2","entrez2","go_similarity","label"
"44","ENSP00000283249","ENSP00000296181","9606.ENSP00000296181","9606.ENSP00000283249",905,"ITGB5","3693","ITGB6","3694",0.816,1
"45","ENSP00000363746","ENSP00000383949","9606.ENSP00000383949","9606.ENSP00000363746",965,"SNU13","4809","WDR46","9277",0.842,1
"46","ENSP00000362680","ENSP00000347379","9606.ENSP00000347379","9606.ENSP00000362680",928,"OCLN","100506658","SRC","6714",0.275,0
"47","ENSP00000354687","ENSP00000355206","9606.ENSP00000355206","9606.ENSP00000354687",999,"MT-ND3","4537","MT-ND1","4535",0.865,1
"48","ENSP00000255882","ENSP00000356155","9606.ENSP00000356155","9606.ENSP00000255882",922,"PIK3C2B","5287","PI4KA","5297",0.632,1
"49","ENSP00000285018","ENSP00000284523","9606.ENSP00000284523","9606.ENSP00000285018",908,"WNT3A","89780","WNT7A","7476",0.647,1
"50","ENSP00000263025","ENSP00000415151","9606.ENSP00000415151","9606.ENSP00000263025",902,"CBFB","865","MAPK3","5595",0.217,0
"51","ENSP00000350815","ENSP00000380308","9606.ENSP00000380308","9606.ENSP00000350815",911,"DYNC1I2","1781","NR3C2","4306",0.138,0
"52","ENSP00000279242","ENSP00000339844","9606.ENSP00000339844","9606.ENSP00000279242",996,"MRPL43","84545","MRPL49","740",1,1
"53","ENSP00000264389","ENSP00000244007","9606.ENSP00000244007","9606.ENSP00000264389",977,"PLCG1","5335","COPS4","51138",0.098,0
"54","ENSP00000220849","ENSP00000447001","9606.ENSP00000447001","9606.ENSP00000220849",907,"RPL18","6141","EIF3E","3646",0.632,1
"55","ENSP00000297313","ENSP00000478892","9606.ENSP00000478892","9606.ENSP00000297313",978,"GNAZ","2781","RGS20","8601",0.913,1
"56","ENSP00000419005","ENSP00000455106","9606.ENSP00000455106","9606.ENSP00000419005",987,"BOP1","23246","UTP25","27042",0.275,0
"57","ENSP00000231487","ENSP00000281623","9606.ENSP00000281623","9606.ENSP00000231487",996,"FBXO4","26272","SKP1","6500",0.715,1
"58","ENSP00000302160","ENSP00000318861","9606.ENSP00000318861","9606.ENSP00000302160",997,"SF3B2","10992","LSM3","27258",0.812,1
"59","ENSP00000326227","ENSP00000264382","9606.ENSP00000264382","9606.ENSP00000326227",925,"SI","6476","GANC","2595",0.212,0
"60","ENSP00000322439","ENSP00000317159","9606.ENSP00000317159","9606.ENSP00000322439",923,"CYC1","1537","TUFM","7284",0.133,0
"61","ENSP00000344456","ENSP00000228644","9606.ENSP00000228644","9606.ENSP00000344456",944,"MYF5","4617","CTNNB1","1499",0.324,0
"62","ENSP00000401980","ENSP00000374552","9606.ENSP00000374552","9606.ENSP00000401980",912,"RNF216","54476","MAVS","57506",0.372,0
"63","ENSP00000363642","ENSP00000244496","9606.ENSP00000244496","9606.ENSP00000363642",953,"RRP36","88745","BMS1","9790",0.936,1
"64","ENSP00000216252","ENSP00000366557","9606.ENSP00000366557","9606.ENSP00000216252",977,"CRNKL1","51340","PHF5A","84844",0.823,1
"65","ENSP00000313581","ENSP00000314151","9606.ENSP00000314151","9606.ENSP00000313581",913,"KLK3","354","KLK2","3817",0.698,1
"66","ENSP00000272418","ENSP00000449884","9606.ENSP00000449884","9606.ENSP00000272418",992,"MRPL42","28977","MRPS5","64969",1,1
"67","ENSP00000265433","ENSP00000260810","9606.ENSP00000260810","9606.ENSP00000265433",977,"TOPBP1","11073","NBN","4683",0.732,1
"68","ENSP00000332194","ENSP00000444136","9606.ENSP00000444136","9606.ENSP00000332194",907,"POLR1B","84172","H2AC20","8338",0.03,0
"69","ENSP00000364902","ENSP00000364163","9606.ENSP00000364163","9606.ENSP00000364902",944,"NOTCH4","4855","POFUT1","23509",0.318,0
"70","ENSP00000258742","ENSP00000297540","9606.ENSP00000297540","9606.ENSP00000258742",909,"PHAX","51808","NUP42","11097",0.371,0
"71","ENSP00000254508","ENSP00000324173","9606.ENSP00000324173","9606.ENSP00000254508",901,"HSPA5","3309","NUP210","23225",0.264,0
"72","ENSP00000377941","ENSP00000361824","9606.ENSP00000361824","9606.ENSP00000377941",925,"SPTAN1","6709","ACTN1","87",1,1
"73","ENSP00000262904","ENSP00000302967","9606.ENSP00000302967","9606.ENSP00000262904",938,"HDAC3","8841","E2F3","1871",0.383,0
"74","ENSP00000337825","ENSP00000401303","9606.ENSP00000401303","9606.ENSP00000337825",977,"SHC1","6464","LCK","3932",0.308,0
